"";"no_razao";"raiz";"Total_por_raiz"
"251";"RUDSUL COMERCIAL LTDA EPP";68557842;1227318,73
"252";"TACKSON EXPRESS TRANSPORTES LTDA";8922132;1220787,89
"253";"SALVADOR LOGISTICA E TRANSPORTES LTDA";7452156;1218437,63
"254";"AVVA COMERCIO DE PRODUTOS QUIMICOS LTDA";10172399;1218414,65
"255";"VIDA LIGHT ALIMENTACAO E SERVICOS LTDA - ME";32375990;1214256,42
"256";"VASCULINE COMERCIO DE MATERIAL MEDICO E REPRESENTACOES LIMITADA";3555303;1212964,4
"257";"PKK CALCADOS LTDA";56681513;1211089,85
"258";"PURO DOCE PRODUTOS ALIMENTICIOS LTDA";10886613;1209874,87
"259";"TRANSPORTES A M S DE MACAE LTDA";7123390;1209004,79
"260";"TRANSLUC TRANSPORTES E SERVICOS EIRELI EPP";13742011;1208842,39
"261";"VALDAC LTDA";45842622;1197061,6
"262";"PANISOL S A PAINEIS ISOLANTES";57473787;1194009,12
"263";"KADU MARINE PARQUEAMENTO NAUTICO LTDA";35828771;1190606,58
"264";"NICHO TECNOLOGIA EIRELI";152301;1188749,41
"265";"VELTEN LOGISTICA E TRANSPORTE LTDA EPP";5593147;1186595,73
"266";"SUPERMERCADO ECONOMICO DE CABO FRIO LTDA";27050947;1186216,74
"267";"NEW GUADALUPE COMERCIO INDUSTRIA IMP E EXPORTACAO DE ROUPAS LTDA";2829167;1185736,53
"268";"M2LOG S/A LOGISTICA E TRANSPORTES";10312706;1182725,41
"269";"CRISED PARAFUSOS E FERRAMENTAS EIRELI";27183045;1179345,53
"270";"FOXOIL DO BRASIL EIRELI";4421743;1172714,4
"271";"TEXTURACOR COMERCIO E INDUSTRIA LTDA";7065435;1171144,74
"272";"JACOBS DOUWE EGBERTS BR COMERCIALIZACAO DE CAFES LTDA";2333707;1166951,69
"273";"YOU CAN SPORTS EIRELI EPP";10516166;1165151,22
"274";"SUISSA INDUSTRIAL E COMERCIAL LTDA";30742548;1162945,48
"275";"MNA COMERCIO DE ROUPAS LTDA";35946342;1160607,93
"276";"ANIS RAZUK INDUSTRIA E COMERCIO LTDA";53558342;1159911,25
"277";"ABOLARIA ALIMENTOS LTDA";4371239;1157937,45
"278";"PETROMACHINE COMERCIO E SERVICOS LTDA";12400126;1153619,66
"279";"PARCETEC INDUSTRIA E COM DE EQUIPAMENTOS E PECAS TECNICAS LTDA";82340;1134531,66
"280";"UBRA COMERCIAL IMPORTADORA E EXPORTADORA LTDA";13560691;1130559,1
"281";"CARGOMAX EQUIPAMENTOS INDUSTRIAIS LTDA";5051385;1125892,67
"282";"LABORATORIO DAUDT OLIVEIRA LTDA";33026055;1124262,67
"283";"OGGI SORVETES LTDA";17332349;1123185,39
"284";"DNF DISTRIBUIDORA DE MATERIAL DE SEGURANCA ELETRONICA EIRELI";13963315;1121079,33
"285";"VALLOG TRANSPORTES E LOGISTICA LTDA";5906784;1118256,98
"286";"DEPP FASHION COMERCIO DE ROUPAS LTDA ME";13576146;1114873,81
"287";"SUPERMERCADOS VIANENSE LTDA";27881408;1112936,74
"288";"DISTRI MARKET COMERCIAL LTDA";11041774;1106476,7
"289";"PETROTICA LABORATORIO E EQUIPAMENTOS LTDA";1374269;1106073,58
"290";"SNL INDUSTRIA E COMERCIO TEXTIL EIRELI";9341891;1096596,17
"291";"MR LABORATORIOS FARMACEUTICOS LTDA";23668196;1094159,69
"292";"RMT INDUSTRIA DE ARTIGOS DO VESTUARIO E ACESSORIOS LTDA";10707812;1091693,53
"293";"CITTA TELECOM LTDA ME";12935241;1085225,85
"294";"EME EMPRESA DE MINEIRACAO ESTRELA LTDA";29721511;1081021,1
"295";"VISAO FUTURA RECICLAGEM LTDA ME";11140895;1079976,91
"296";"ARMAZEM DO GRAO LTDA";9336989;1078967,52
"297";"BLUECOM SOLUCOES DE CONECTIVIDADE E INFORMATICA LTDA";2686151;1073699,51
"298";"HAGEN RHEYDT DO BRASIL QUIMICA FINA LTDA";3530117;1070709,83
"299";"CENTER HIDRO INSTALACOES E COMERCIO LTDA";12315717;1068282,78
"300";"UNIAO TRANSPORTE INTERESTADUAL DE LUXO S A";33337007;1066466,43
"301";"PAGANINI MATERIAL DE CONSTRUCAO LTDA";39372677;1059167,77
"302";"TRANSPALLET TRANSPORTES E LOGISTICA LTDA";38856126;1058759,77
"303";"CAPMETAL INDUSTRIA E COMERCIO LTDA";30026033;1055501,77
"304";"INTEGRA LOGISTICA E TRANSPORTES LTDA EPP";9427193;1054860,23
"305";"MAV INDUSTRIA E COMERCIO DE ROUPAS LTDA";19961857;1051886,3
"306";"GLADES DISTRIBUIDORA LTDA ME";10503301;1046662,58
"307";"GARBONI INDUSTRIA DE PLASTICOS E MOLDES EIRELI";31136401;1046381,33
"308";"HAND BAKER DISTRIBUIDORA DE PRODUTOS PARA PANIFICACAO EIRELI";17804104;1039912,29
"309";"PH TRANSPORTES LTDA";3564702;1036547,43
"310";"BERCEF ARTIGOS ESPORTIVOS LTDA";7298492;1035791,23
"311";"QUIMISA GALVANIZACAO LTDA";30741128;1027757,33
"312";"CARIOCA MEDICAMENTOS E MATERIAL MEDICO EIRELI";10837371;1026198,96
"313";"PRM ELETROMOVEIS LTDA";12749427;1019380,25
"314";"S M 4 INDUSTRIA E COMERCIO DE LATICINIOS S.A";848780;1018244,66
"315";"H D LOG TRANSPORTES LTDA - ME";11040609;1010282,34
"316";"MERIDIAN LOGISTICA INTEGRADA LTDA";4706877;1007998,5
"317";"COMERCIAL TINTOFER LTDA";5330651;1003976,47
"318";"TUDO BEM TUDO BOM COMERCIO LTDA";12741020;1002899,19
"319";"HAWAI-PORTO REAL TRANSPORTES LTDA";1878026;999337,21
"320";"CRUZEIRO DO SUL MERCADO LTDA";16575340;998384,47
"321";"NEW WORK COMERCIO E PARTICIPACOES LTDA";58634536;989393,44
"322";"BARRA DO CEDRO COMERCIAL DE ALIMENTOSLTDA";7476685;988704,51
"323";"RUDKIDS COMERCIAL LTDA";120146;985466,72
"324";"RUBINHA CONFECCOES LTDA";29520640;980166,71
"325";"NEW TEMPER NOROESTE INDUSTRIA E COMERCIO DE VIDROS LTDA EPP";8488511;974792,81
"326";"TRANSPORTADORA RODOVERDE LTDA";9088251;973374,46
"327";"ATACADAO PAPELEX LTDA";16731862;970392,62
"328";"JB GAZZONI RESTAURANTE INDUSTRIAL LTDA -EPP";32125858;968565,4
"329";"RAPIDO TRANSPAULO LTDA";88317847;965869,44
"330";"QUISSAMA INDUSTRIA DE ALIMENTOS LTDA";8734521;962353
"331";"BIG MARCAS RJ EIRELI";9237897;960394,57
"332";"RIONIL COMPOSTOS VINILICOS LTDA";30034441;959750,28
"333";"INQUISA INDUSTRIA QUIMICA SANTO ANTONIO S/A";34291484;958440,32
"334";"RODOVIARIO BEDIN LTDA";43025774;955090,3
"335";"TRANSPORTADORA BONS AMIGOS EM LOGISTICA LTDA";7118913;953922,7
"336";"ITABIRA AGRO INDUSTRIAL S/A";27175959;952705,72
